epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2526,3.32501,4.08422,2.2989,0.00223,0.02963,0.0037,0.00064,2.98973,4.14994,2.26911,5.716e-05,5.716e-05,5.716e-05
2,27.7705,3.00535,3.91617,2.12346,0.00517,0.06667,0.00483,0.00115,2.77133,4.06161,2.05315,0.000126064,0.000126064,0.000126064
3,32.0216,2.85518,3.75994,1.93408,0.01018,0.14074,0.00975,0.00318,2.56308,3.95474,1.84468,0.000192138,0.000192138,0.000192138
4,37.4093,2.75654,3.39603,1.789,0.01298,0.16843,0.08594,0.02403,2.45915,3.75026,1.69317,0.000255382,0.000255382,0.000255382
5,42.2424,2.68716,3.13059,1.68656,0.02604,0.34395,0.10587,0.03178,2.51264,3.56553,1.68864,0.000315798,0.000315798,0.000315798
6,46.83,2.60021,2.79646,1.64632,0.02931,0.41776,0.1712,0.04227,2.52332,3.43117,1.67455,0.000373383,0.000373383,0.000373383
7,51.486,2.57785,2.73576,1.62631,0.02472,0.38332,0.14806,0.04012,2.50162,3.23711,1.65362,0.00042814,0.00042814,0.00042814
8,56.5693,2.57994,2.43505,1.54371,0.03339,0.47376,0.14753,0.0438,2.51265,3.18481,1.66517,0.000480067,0.000480067,0.000480067
9,62.4141,2.52949,2.36864,1.56875,0.43113,0.42536,0.17921,0.0544,2.50141,3.04389,1.64197,0.000529164,0.000529164,0.000529164
10,68.4843,2.47729,2.38923,1.53053,0.61996,0.26254,0.24583,0.07432,2.43506,2.74345,1.57724,0.000575433,0.000575433,0.000575433
